human,mouse,DB
A1BG,A1bg,Jax/Ensembl/Biomart
A1CF,A1cf,Jax/Ensembl/Biomart
A2M,A2m,Jax/Ensembl/Biomart
A3GALT2,A3galt2,Jax/Ensembl/Biomart
A4GALT,A4galt,Jax/Ensembl/Biomart
A4GNT,A4gnt,Jax/Ensembl/Biomart
AAAS,Aaas,Jax/Ensembl/Biomart
AACS,Aacs,Jax/Ensembl/Biomart
AADAC,Aadac,Jax/Ensembl/Biomart
AADACL2,Aadacl2,Jax/Ensembl/Biomart
AADACL3,Aadacl3,Jax/Ensembl/Biomart
AADACL4,Aadacl4,Jax/Ensembl/Biomart
AADAT,Aadat,Jax/Ensembl/Biomart
AAGAB,Aagab,Jax/Ensembl/Biomart
AAK1,Aak1,Jax/Ensembl/Biomart
AAMDC,Aamdc,Jax/Ensembl/Biomart
AAMP,Aamp,Jax/Ensembl/Biomart
AANAT,Aanat,Jax/Ensembl/Biomart
AAR2,Aar2,Jax/Ensembl/Biomart
AARD,Aard,Jax/Ensembl/Biomart
AARS,Aars,Jax/Ensembl/Biomart
AARS2,Aars2,Jax/Ensembl/Biomart
AARSD1,Aarsd1,Jax/Ensembl/Biomart
AASDH,Aasdh,Jax/Ensembl/Biomart
AASDHPPT,Aasdhppt,Jax/Ensembl/Biomart
AASS,Aass,Jax/Ensembl/Biomart
AATF,Aatf,Jax/Ensembl/Biomart
AATK,Aatk,Jax/Ensembl/Biomart
ABAT,Abat,Jax/Ensembl/Biomart
ABCA1,Abca1,Jax/Ensembl/Biomart
ABCA12,Abca12,Jax/Ensembl/Biomart
ABCA13,Abca13,Jax/Ensembl/Biomart
ABCA2,Abca2,Jax/Ensembl/Biomart
ABCA3,Abca3,Jax/Ensembl/Biomart
ABCA4,Abca4,Jax/Ensembl/Biomart
ABCA5,Abca5,Jax/Ensembl/Biomart
ABCA6,Abca6,Jax/Ensembl/Biomart
ABCA7,Abca7,Jax/Ensembl/Biomart
ABCA8,Abca8b,Jax/Ensembl/Biomart
ABCA9,Abca9,Jax/Ensembl/Biomart
ABCB1,Abcb1a,Jax/Ensembl/Biomart
ABCB10,Abcb10,Jax/Ensembl/Biomart
ABCB11,Abcb11,Jax/Ensembl/Biomart
ABCB4,Abcb4,Jax/Ensembl/Biomart
ABCB5,Abcb5,Jax/Ensembl/Biomart
ABCB6,Abcb6,Jax/Ensembl/Biomart
ABCB7,Abcb7,Jax/Ensembl/Biomart
ABCB8,Abcb8,Jax/Ensembl/Biomart
ABCB9,Abcb9,Jax/Ensembl/Biomart
ABCC1,Abcc1,Jax/Ensembl/Biomart
ABCC10,Abcc10,Jax/Ensembl/Biomart
ABCC12,Abcc12,Jax/Ensembl/Biomart
ABCC2,Abcc2,Jax/Ensembl/Biomart
ABCC3,Abcc3,Jax/Ensembl/Biomart
ABCC4,Abcc4,Jax/Ensembl/Biomart
ABCC5,Abcc5,Jax/Ensembl/Biomart
ABCC6,Abcc6,Jax/Ensembl/Biomart
ABCC8,Abcc8,Jax/Ensembl/Biomart
ABCC9,Abcc9,Jax/Ensembl/Biomart
ABCD1,Abcd1,Jax/Ensembl/Biomart
ABCD2,Abcd2,Jax/Ensembl/Biomart
ABCD3,Abcd3,Jax/Ensembl/Biomart
ABCD4,Abcd4,Jax/Ensembl/Biomart
ABCE1,Abce1,Jax/Ensembl/Biomart
ABCF1,Abcf1,Jax/Ensembl/Biomart
ABCF2,Abcf2,Jax/Ensembl/Biomart
ABCF3,Abcf3,Jax/Ensembl/Biomart
ABCG1,Abcg1,Jax/Ensembl/Biomart
ABCG4,Abcg4,Jax/Ensembl/Biomart
ABCG5,Abcg5,Jax/Ensembl/Biomart
ABCG8,Abcg8,Jax/Ensembl/Biomart
ABHD10,Abhd10,Jax/Ensembl/Biomart
ABHD11,Abhd11,Jax/Ensembl/Biomart
ABHD12,Abhd12,Jax/Ensembl/Biomart
ABHD12B,Abhd12b,Jax/Ensembl/Biomart
ABHD13,Abhd13,Jax/Ensembl/Biomart
ABHD14A,Abhd14a,Jax/Ensembl/Biomart
ABHD14B,Abhd14b,Jax/Ensembl/Biomart
ABHD15,Abhd15,Jax/Ensembl/Biomart
ABHD16A,Abhd16a,Jax/Ensembl/Biomart
ABHD16B,Abhd16b,Jax/Ensembl/Biomart
ABHD17A,Abhd17a,Jax/Ensembl/Biomart
ABHD17B,Abhd17b,Jax/Ensembl/Biomart
ABHD17C,Abhd17c,Jax/Ensembl/Biomart
ABHD18,Abhd18,Jax/Ensembl/Biomart
ABHD2,Abhd2,Jax/Ensembl/Biomart
ABHD3,Abhd3,Jax/Ensembl/Biomart
ABHD4,Abhd4,Jax/Ensembl/Biomart
ABHD5,Abhd5,Jax/Ensembl/Biomart
ABHD6,Abhd6,Jax/Ensembl/Biomart
ABHD8,Abhd8,Jax/Ensembl/Biomart
ABI1,Abi1,Jax/Ensembl/Biomart
ABI2,Abi2,Jax/Ensembl/Biomart
ABI3,Abi3,Jax/Ensembl/Biomart
ABL1,Abl1,Jax/Ensembl/Biomart
ABL2,Abl2,Jax/Ensembl/Biomart
ABLIM1,Ablim1,Jax/Ensembl/Biomart
ABLIM2,Ablim2,Jax/Ensembl/Biomart
ABLIM3,Ablim3,Jax/Ensembl/Biomart
ABO,Abo,Jax/Ensembl/Biomart
ABR,Abr,Jax/Ensembl/Biomart
ABRA,Abra,Jax/Ensembl/Biomart
ABRACL,Abracl,Jax/Ensembl/Biomart
ABRAXAS1,Abraxas1,Jax/Ensembl/Biomart
ABRAXAS2,Abraxas2,Jax/Ensembl/Biomart
ABT1,Abt1,Jax/Ensembl/Biomart
ABTB1,Abtb1,Jax/Ensembl/Biomart
ABTB2,Abtb2,Jax/Ensembl/Biomart
ACAA1,Acaa1a,Jax/Ensembl/Biomart
ACAA2,Acaa2,Jax/Ensembl/Biomart
ACACA,Acaca,Jax/Ensembl/Biomart
ACACB,Acacb,Jax/Ensembl/Biomart
ACAD10,Acad10,Jax/Ensembl/Biomart
ACAD11,Acad11,Jax/Ensembl/Biomart
ACAD8,Acad8,Jax/Ensembl/Biomart
ACAD9,Acad9,Jax/Ensembl/Biomart
ACADL,Acadl,Jax/Ensembl/Biomart
ACADM,Acadm,Jax/Ensembl/Biomart
ACADS,Acads,Jax/Ensembl/Biomart
ACADSB,Acadsb,Jax/Ensembl/Biomart
ACADVL,Acadvl,Jax/Ensembl/Biomart
ACAP1,Acap1,Jax/Ensembl/Biomart
ACAP2,Acap2,Jax/Ensembl/Biomart
ACAP3,Acap3,Jax/Ensembl/Biomart
ACAT1,Acat1,Jax/Ensembl/Biomart
ACAT2,Acat2,Jax/Ensembl/Biomart
ACAT2,Acat3,Jax/Ensembl/Biomart
ACBD3,Acbd3,Jax/Ensembl/Biomart
ACBD4,Acbd4,Jax/Ensembl/Biomart
ACBD5,Acbd5,Jax/Ensembl/Biomart
ACBD6,Acbd6,Jax/Ensembl/Biomart
ACBD7,Acbd7,Jax/Ensembl/Biomart
ACCS,Accs,Jax/Ensembl/Biomart
ACCSL,Accsl,Jax/Ensembl/Biomart
ACD,Acd,Jax/Ensembl/Biomart
ACE,Ace,Jax/Ensembl/Biomart
ACE2,Ace2,Jax/Ensembl/Biomart
ACER1,Acer1,Jax/Ensembl/Biomart
ACER2,Acer2,Jax/Ensembl/Biomart
ACER3,Acer3,Jax/Ensembl/Biomart
ACHE,Ache,Jax/Ensembl/Biomart
ACIN1,Acin1,Jax/Ensembl/Biomart
ACKR1,Ackr1,Jax/Ensembl/Biomart
ACKR2,Ackr2,Jax/Ensembl/Biomart
ACKR3,Ackr3,Jax/Ensembl/Biomart
ACKR4,Ackr4,Jax/Ensembl/Biomart
ACLY,Acly,Jax/Ensembl/Biomart
ACMSD,Acmsd,Jax/Ensembl/Biomart
ACO1,Aco1,Jax/Ensembl/Biomart
ACO2,Aco2,Jax/Ensembl/Biomart
ACOD1,Acod1,Jax/Ensembl/Biomart
ACOT1,Acot3,Jax/Ensembl/Biomart
ACOT11,Acot11,Jax/Ensembl/Biomart
ACOT12,Acot12,Jax/Ensembl/Biomart
ACOT13,Acot13,Jax/Ensembl/Biomart
ACOT2,Acot2,Jax/Ensembl/Biomart
ACOT4,Acot4,Jax/Ensembl/Biomart
ACOT7,Acot7,Jax/Ensembl/Biomart
ACOT8,Acot8,Jax/Ensembl/Biomart
ACOT9,Acot10,Jax/Ensembl/Biomart
ACOT9,Acot9,Jax/Ensembl/Biomart
ACOX1,Acox1,Jax/Ensembl/Biomart
ACOX2,Acox2,Jax/Ensembl/Biomart
ACOX3,Acox3,Jax/Ensembl/Biomart
ACOXL,Acoxl,Jax/Ensembl/Biomart
ACP2,Acp2,Jax/Ensembl/Biomart
ACP4,Acp4,Jax/Ensembl/Biomart
ACP6,Acp6,Jax/Ensembl/Biomart
ACP7,Acp7,Jax/Ensembl/Biomart
ACPP,Acpp,Jax/Ensembl/Biomart
ACR,Acr,Jax/Ensembl/Biomart
ACRBP,Acrbp,Jax/Ensembl/Biomart
ACRV1,Acrv1,Jax/Ensembl/Biomart
ACSBG1,Acsbg1,Jax/Ensembl/Biomart
ACSBG2,Acsbg2,Jax/Ensembl/Biomart
ACSF2,Acsf2,Jax/Ensembl/Biomart
ACSF3,Acsf3,Jax/Ensembl/Biomart
ACSL1,Acsl1,Jax/Ensembl/Biomart
ACSL3,Acsl3,Jax/Ensembl/Biomart
ACSL4,Acsl4,Jax/Ensembl/Biomart
ACSL5,Acsl5,Jax/Ensembl/Biomart
ACSL6,Acsl6,Jax/Ensembl/Biomart
ACSM1,Acsm1,Jax/Ensembl/Biomart
ACSM2A,Acsm2,Jax/Ensembl/Biomart
ACSM3,Acsm3,Jax/Ensembl/Biomart
ACSM4,Acsm4,Jax/Ensembl/Biomart
ACSM5,Acsm5,Jax/Ensembl/Biomart
ACSS1,Acss1,Jax/Ensembl/Biomart
ACSS2,Acss2,Jax/Ensembl/Biomart
ACSS3,Acss3,Jax/Ensembl/Biomart
ACTA1,Acta1,Jax/Ensembl/Biomart
ACTA2,Acta2,Jax/Ensembl/Biomart
ACTB,Actb,Jax/Ensembl/Biomart
ACTBL2,Actbl2,Jax/Ensembl/Biomart
ACTC1,Actc1,Jax/Ensembl/Biomart
ACTG1,Actg1,Jax/Ensembl/Biomart
ACTG2,Actg2,Jax/Ensembl/Biomart
ACTL10,Actl10,Jax/Ensembl/Biomart
ACTL6A,Actl6a,Jax/Ensembl/Biomart
ACTL6B,Actl6b,Jax/Ensembl/Biomart
ACTL7A,Actl7a,Jax/Ensembl/Biomart
ACTL7B,Actl7b,Jax/Ensembl/Biomart
ACTL9,Actl9,Jax/Ensembl/Biomart
ACTN1,Actn1,Jax/Ensembl/Biomart
ACTN2,Actn2,Jax/Ensembl/Biomart
ACTN4,Actn4,Jax/Ensembl/Biomart
ACTR10,Actr10,Jax/Ensembl/Biomart
ACTR1A,Actr1a,Jax/Ensembl/Biomart
ACTR1B,Actr1b,Jax/Ensembl/Biomart
ACTR2,Actr2,Jax/Ensembl/Biomart
ACTR3,Actr3,Jax/Ensembl/Biomart
ACTR3B,Actr3b,Jax/Ensembl/Biomart
ACTR5,Actr5,Jax/Ensembl/Biomart
ACTR6,Actr6,Jax/Ensembl/Biomart
ACTR8,Actr8,Jax/Ensembl/Biomart
ACTRT1,Actrt1,Jax/Ensembl/Biomart
ACTRT2,Actrt2,Jax/Ensembl/Biomart
ACTRT3,Actrt3,Jax/Ensembl/Biomart
ACVR1,Acvr1,Jax/Ensembl/Biomart
ACVR1B,Acvr1b,Jax/Ensembl/Biomart
ACVR1C,Acvr1c,Jax/Ensembl/Biomart
ACVR2A,Acvr2a,Jax/Ensembl/Biomart
ACVR2B,Acvr2b,Jax/Ensembl/Biomart
ACVRL1,Acvrl1,Jax/Ensembl/Biomart
ACY1,Acy1,Jax/Ensembl/Biomart
ACY3,Acy3,Jax/Ensembl/Biomart
ACYP1,Acyp1,Jax/Ensembl/Biomart
ACYP2,Acyp2,Jax/Ensembl/Biomart
ADA,Ada,Jax/Ensembl/Biomart
ADAD1,Adad1,Jax/Ensembl/Biomart
ADAD2,Adad2,Jax/Ensembl/Biomart
ADAL,Adal,Jax/Ensembl/Biomart
ADAM10,Adam10,Jax/Ensembl/Biomart
ADAM11,Adam11,Jax/Ensembl/Biomart
ADAM12,Adam12,Jax/Ensembl/Biomart
ADAM15,Adam15,Jax/Ensembl/Biomart
ADAM17,Adam17,Jax/Ensembl/Biomart
ADAM18,Adam18,Jax/Ensembl/Biomart
ADAM2,Adam2,Jax/Ensembl/Biomart
ADAM20,Adam20,Jax/Ensembl/Biomart
ADAM20,Adam25,Jax/Ensembl/Biomart
ADAM20,Adam39,Jax/Ensembl/Biomart
ADAM21,Adam21,Jax/Ensembl/Biomart
ADAM22,Adam22,Jax/Ensembl/Biomart
ADAM23,Adam23,Jax/Ensembl/Biomart
ADAM28,Adam28,Jax/Ensembl/Biomart
